t,U,P,grad = 0.420000 -0.066752 -0.007649 -0.090413
t,U,P,grad = 0.425000 -0.067200 -0.007646 -0.089967
t,U,P,grad = 0.430000 -0.067646 -0.007644 -0.08953
t,U,P,grad = 0.435000 -0.068089 -0.007643 -0.089101
t,U,P,grad = 0.440000 -0.068530 -0.007641 -0.08868
t,U,P,grad = 0.445000 -0.068970 -0.007640 -0.088268
t,U,P,grad = 0.450000 -0.069407 -0.007639 -0.087863
t,U,P,grad = 0.455000 -0.069842 -0.007638 -0.087464
t,U,P,grad = 0.460000 -0.070276 -0.007637 -0.087073
t,U,P,grad = 0.465000 -0.070707 -0.007637 -0.086688
t,U,P,grad = 0.470000 -0.071137 -0.007637 -0.08631
t,U,P,grad = 0.475000 -0.071565 -0.007637 -0.085938
t,U,P,grad = 0.480000 -0.071991 -0.007637 -0.085572
t,U,P,grad = 0.485000 -0.072415 -0.007637 -0.085211
t,U,P,grad = 0.490000 -0.072838 -0.007638 -0.084857
t,U,P,grad = 0.495000 -0.073259 -0.007638 -0.084509
t,U,P,grad = 0.500000 -0.073678 -0.007639 -0.084167
t,U,P,grad = 0.505000 -0.074095 -0.007640 -0.083831
t,U,P,grad = 0.510000 -0.074511 -0.007641 -0.0835
t,U,P,grad = 0.515000 -0.074925 -0.007643 -0.083175
t,U,P,grad = 0.520000 -0.075338 -0.007644 -0.082855
t,U,P,grad = 0.525000 -0.075749 -0.007646 -0.08254
t,U,P,grad = 0.530000 -0.076159 -0.007648 -0.082229
t,U,P,grad = 0.535000 -0.076567 -0.007650 -0.081924
t,U,P,grad = 0.540000 -0.076974 -0.007652 -0.081623
t,U,P,grad = 0.545000 -0.077379 -0.007654 -0.081328
t,U,P,grad = 0.550000 -0.077783 -0.007656 -0.081036
t,U,P,grad = 0.555000 -0.078185 -0.007659 -0.080749
t,U,P,grad = 0.560000 -0.078586 -0.007662 -0.080467
t,U,P,grad = 0.565000 -0.078985 -0.007664 -0.080189
t,U,P,grad = 0.570000 -0.079384 -0.007667 -0.079915
